nome	repositorio	kingdom	tag	url
PAMG - Herbário PAMG	cria	Plantae	pamg	http://ipt1.cria.org.br/ipt/
HRSN - Herbário de Referência do Sertão Nordestino	cria	Plantae	hrsn	http://ipt1.cria.org.br/ipt/
CEPEC-Fungi - Coleção Micológica do CEPEC	cria	Plantae	cepec-fungi	http://ipt1.cria.org.br/ipt/
SPF - Herbário da Universidade de São Paulo	cria	Plantae	spf	http://ipt1.cria.org.br/ipt/
MFS-Flores - Herbário Profª. Drª. Marlene Freitas da Silva - Coleção de Flores	cria	Plantae	mfs-flores	http://ipt1.cria.org.br/ipt/
R-Algae - Herbário do Museu Nacional	cria	Plantae	R-Algae	http://ipt1.cria.org.br/ipt/
ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz	cria	Plantae	esa	http://ipt1.cria.org.br/ipt/
MFS-Frutos - Herbário Profª. Drª. Marlene Freitas da Silva - Coleção de Frutos	cria	Plantae	mfs-frutos	http://ipt1.cria.org.br/ipt/
SJRP-Algae - Herbário de algas de São José do Rio Preto	cria	Plantae	sjrp-algae	http://ipt1.cria.org.br/ipt/
MFS-Plantulas - Herbário Profª. Drª. Marlene Freitas da Silva - Coleção de Plântulas	cria	Plantae	mfs-plantulas	http://ipt1.cria.org.br/ipt/
EAC - Herbário Prisco Bezerra	cria	Plantae	eac	http://ipt1.cria.org.br/ipt/
R - Herbário do Museu Nacional	cria	Plantae	r_herbario	http://ipt1.cria.org.br/ipt/
CEPEC - Herbário do Centro de Pesquisas do Cacau	cria	Plantae	cepec	http://ipt1.cria.org.br/ipt/
SJRP-Bryophyta - Herbário de Bryophyta de São José do Rio Preto	cria	Plantae	sjrp-bryophyta	http://ipt1.cria.org.br/ipt/
R-Bryophyta - Herbário do Museu Nacional - Bryophyta	cria	Plantae	r-criptogamos	http://ipt1.cria.org.br/ipt/
JOIw - Xiloteca Joinvillea	cria	Animalia	joiw	http://ipt1.cria.org.br/ipt/
SPF-Algae - Herbário da Universidade de São Paulo - Coleção de Algas	cria	Plantae	spf-algae	http://ipt1.cria.org.br/ipt/
HVASFw - Xiloteca do Herbário Vale do São Francisco	cria	Plantae	hvasfw	http://ipt1.cria.org.br/ipt/
MBML-Herbario - Herbário Mello Leitão	cria	Plantae	mbml-herbario	http://ipt1.cria.org.br/ipt/
R-Fungi - Herbário do Museu Nacional	cria	Plantae	R-Fungi	http://ipt1.cria.org.br/ipt/
R-Tipos - Herbário do Museu Nacional - Tipos	cria	Plantae	r_tipos	http://ipt1.cria.org.br/ipt/
SJRP-Pteridophyta - Herbário de Pteridophyta de São José do Rio Preto	cria	Plantae	sjrp-pteridophyta	http://ipt1.cria.org.br/ipt/
BHCB-SL - Herbário UFMG - Samambaias e Licófitas	cria	Plantae	bhcb-sl	http://ipt1.cria.org.br/ipt/
BHCB-Briofitas - Herbário da Universidade Federal de Minas Gerais - Briofitas	cria	Plantae	bhcb-bryophyta	http://ipt1.cria.org.br/ipt/
HJ - Herbario Jataiense	cria	Plantae	hj_herbario	http://ipt1.cria.org.br/ipt/
ALCB - Herbário Alexandre Leal Costa	cria	Plantae	alcb	http://ipt1.cria.org.br/ipt/
MCP-Moluscos - Coleção de Moluscos	cria	Animalia	mcp-moluscos	http://ipt1.cria.org.br/ipt/
MCP-Crustaceos - Coleção de Crustáceos	cria	Animalia	mcp-crustaceos	http://ipt1.cria.org.br/ipt/
MCTP-Miriapodes - Coleção de Arachnida e Myriapoda	cria	Animalia	mctp-miriapodes	http://ipt1.cria.org.br/ipt/
MCTP-Aranhas - Coleção de Arachnida e Myriapoda	cria	Animalia	mctp-aranhas	http://ipt1.cria.org.br/ipt/
